"drinkName_name","drinkName_drinkImage","drinkName_about","drinkName_ingredients_ingredient","drinkName_ingredients_amount","drinkName_mix_how"
"Irish Rose","https://cdn.liquor.com/wp-content/uploads/2018/09/14114849/PowersBrands_Irish-Rose_720x720.jpg","Twice-charred whiskey can be enjoyed neat, on the rocks or as the star of this bright and refreshing cocktail. The well-balanced Irish whiskey is made even smoother by lemon juice, grenadine and egg white.","Jameson Black Barrel whiskey","60 ml",""
"Irish Rose","https://cdn.liquor.com/wp-content/uploads/2018/09/14114849/PowersBrands_Irish-Rose_720x720.jpg","Twice-charred whiskey can be enjoyed neat, on the rocks or as the star of this bright and refreshing cocktail. The well-balanced Irish whiskey is made even smoother by lemon juice, grenadine and egg white.","Fresh lemon juice","22 ml",""
"Irish Rose","https://cdn.liquor.com/wp-content/uploads/2018/09/14114849/PowersBrands_Irish-Rose_720x720.jpg","Twice-charred whiskey can be enjoyed neat, on the rocks or as the star of this bright and refreshing cocktail. The well-balanced Irish whiskey is made even smoother by lemon juice, grenadine and egg white.","Grenadine","3⁄4",""
"Irish Rose","https://cdn.liquor.com/wp-content/uploads/2018/09/14114849/PowersBrands_Irish-Rose_720x720.jpg","Twice-charred whiskey can be enjoyed neat, on the rocks or as the star of this bright and refreshing cocktail. The well-balanced Irish whiskey is made even smoother by lemon juice, grenadine and egg white.","Egg white","1",""
"Irish Rose","https://cdn.liquor.com/wp-content/uploads/2018/09/14114849/PowersBrands_Irish-Rose_720x720.jpg","Twice-charred whiskey can be enjoyed neat, on the rocks or as the star of this bright and refreshing cocktail. The well-balanced Irish whiskey is made even smoother by lemon juice, grenadine and egg white.","Islay scotch, to rinse","",""
"","","","","","Rinse a coupe with the scotch and set aside."
"","","","","","Add all ingredients into a shaker with ice and shake vigorously."
"","","","","","Fine-strain into the prepared glass."
"Benton’s Old Fashioned","https://cdn.liquor.com/wp-content/uploads/2018/08/14074619/bentons-old-fashioned-720x720-recipe.jpg","Created by Don Lee of New York City’s PDT in 2007, this cocktail started the fat-washing cocktail trend that’s still active in bars all over the world.","Fat-washed Four Roses bourbon*","60 ml",""
"Benton’s Old Fashioned","https://cdn.liquor.com/wp-content/uploads/2018/08/14074619/bentons-old-fashioned-720x720-recipe.jpg","Created by Don Lee of New York City’s PDT in 2007, this cocktail started the fat-washing cocktail trend that’s still active in bars all over the world.","Grade B maple syrup","7.5 ml",""
"Benton’s Old Fashioned","https://cdn.liquor.com/wp-content/uploads/2018/08/14074619/bentons-old-fashioned-720x720-recipe.jpg","Created by Don Lee of New York City’s PDT in 2007, this cocktail started the fat-washing cocktail trend that’s still active in bars all over the world.","Angostura bitters","2 dashes",""
"","","","","","Add all the ingredients into a mixing glass and stir."
"","","","","","Strain into a rocks glass with one large ice cube."
"","","","","","Express the oil of an orange peel over the cocktail and drop in the peel."
"","","","","","*Fat-washed Four Roses bourbon (from Jim Meehan’s “The PDT Cocktail Book”): In a cambro/container, combine 1 750 mL bottle of Four Roses bourbon and 1 1/2 oz liquified fat from Benton’s Smoky Mountain country ham. Set aside for 4 hours to infuse. Place the container in the freezer for 2 hours. Take the container out of the freezer, and strain the bourbon from the solidified fat with terry cloth or cheesecloth."
"Mai Tai","https://cdn.liquor.com/wp-content/uploads/2018/08/10101652/mai-tai-720x720-recipe.jpg","The Mai Tai is the quintessential torch carrier of Tiki. It made its flowery foray into American culture between the 1930s and ’50s, thanks to tropical-minded entrepreneurs like Ernest Raymond Beaumont Gantt (a.k.a. Donn Beach) and Victor Jules Bergeron (a.k.a. Trader Vic). This classic recipe comes from Tiki historian Jeff “Beachbum” Berry, the owner of New Orleans’ ode to Tikidom, Latitude 29.","Coruba dark Jamaican rum","30 ml",""
"Mai Tai","https://cdn.liquor.com/wp-content/uploads/2018/08/10101652/mai-tai-720x720-recipe.jpg","The Mai Tai is the quintessential torch carrier of Tiki. It made its flowery foray into American culture between the 1930s and ’50s, thanks to tropical-minded entrepreneurs like Ernest Raymond Beaumont Gantt (a.k.a. Donn Beach) and Victor Jules Bergeron (a.k.a. Trader Vic). This classic recipe comes from Tiki historian Jeff “Beachbum” Berry, the owner of New Orleans’ ode to Tikidom, Latitude 29.","Rhum Clément V.S.O.P. Martinique rhum agricole vieux","30 ml",""
"Mai Tai","https://cdn.liquor.com/wp-content/uploads/2018/08/10101652/mai-tai-720x720-recipe.jpg","The Mai Tai is the quintessential torch carrier of Tiki. It made its flowery foray into American culture between the 1930s and ’50s, thanks to tropical-minded entrepreneurs like Ernest Raymond Beaumont Gantt (a.k.a. Donn Beach) and Victor Jules Bergeron (a.k.a. Trader Vic). This classic recipe comes from Tiki historian Jeff “Beachbum” Berry, the owner of New Orleans’ ode to Tikidom, Latitude 29.","Orange curaçao","15 ml",""
"Mai Tai","https://cdn.liquor.com/wp-content/uploads/2018/08/10101652/mai-tai-720x720-recipe.jpg","The Mai Tai is the quintessential torch carrier of Tiki. It made its flowery foray into American culture between the 1930s and ’50s, thanks to tropical-minded entrepreneurs like Ernest Raymond Beaumont Gantt (a.k.a. Donn Beach) and Victor Jules Bergeron (a.k.a. Trader Vic). This classic recipe comes from Tiki historian Jeff “Beachbum” Berry, the owner of New Orleans’ ode to Tikidom, Latitude 29.","Latitude 29 Formula orgeat","15 ml",""
"Mai Tai","https://cdn.liquor.com/wp-content/uploads/2018/08/10101652/mai-tai-720x720-recipe.jpg","The Mai Tai is the quintessential torch carrier of Tiki. It made its flowery foray into American culture between the 1930s and ’50s, thanks to tropical-minded entrepreneurs like Ernest Raymond Beaumont Gantt (a.k.a. Donn Beach) and Victor Jules Bergeron (a.k.a. Trader Vic). This classic recipe comes from Tiki historian Jeff “Beachbum” Berry, the owner of New Orleans’ ode to Tikidom, Latitude 29.","Fresh lime juice (keep shell)","30 ml",""
"Mai Tai","https://cdn.liquor.com/wp-content/uploads/2018/08/10101652/mai-tai-720x720-recipe.jpg","The Mai Tai is the quintessential torch carrier of Tiki. It made its flowery foray into American culture between the 1930s and ’50s, thanks to tropical-minded entrepreneurs like Ernest Raymond Beaumont Gantt (a.k.a. Donn Beach) and Victor Jules Bergeron (a.k.a. Trader Vic). This classic recipe comes from Tiki historian Jeff “Beachbum” Berry, the owner of New Orleans’ ode to Tikidom, Latitude 29.","Simple syrup (to taste)","7.5 ml",""
"","","","","","Add all the ingredients into a shaker with 2 scoops of crushed ice, and shake well for 10 seconds."
"","","","","","Pour unstrained into a double Old Fashioned glass."
"","","","","","Sink the spent lime shell into the drink."
"","","","","","Garnish with a mint sprig."
"Simple Syrup","https://cdn.liquor.com/wp-content/uploads/2018/08/06122918/simple-syrup-720x720-recipe-1.jpg","If you can boil water, you can make simple syrup. The staple cocktail sweetener more than earns its name, consisting, simply, of equal-parts granulated sugar and water. From there, the variations are endless. Like your sweetener sweeter? Up the ratio to two to one, sugar to water. Looking to add a little zip to your Paloma or oomph to your Old Fashioned? Steep a couple of jalapeño slices or cinnamon sticks.","Granulated sugar","1⁄2 cup",""
