"drinkName_name","drinkName_drinkImage","drinkName_about","drinkName_ingredients_ingredient","drinkName_ingredients_amount","drinkName_mix_how"
"Bacardí Superior Mai Tai","https://cdn.liquor.com/wp-content/uploads/2018/05/02135451/maitai-feature.jpg","A classic cocktail made with one of the world’s classic rums, this Mai Tai mixes up tropical flavors like almond and spice to become your next Tiki go-to.","White rum","45 ml",""
"Bacardí Superior Mai Tai","https://cdn.liquor.com/wp-content/uploads/2018/05/02135451/maitai-feature.jpg","A classic cocktail made with one of the world’s classic rums, this Mai Tai mixes up tropical flavors like almond and spice to become your next Tiki go-to.","Orange curaçao","22 ml",""
"Bacardí Superior Mai Tai","https://cdn.liquor.com/wp-content/uploads/2018/05/02135451/maitai-feature.jpg","A classic cocktail made with one of the world’s classic rums, this Mai Tai mixes up tropical flavors like almond and spice to become your next Tiki go-to.","Fresh lime juice","22 ml",""
"Bacardí Superior Mai Tai","https://cdn.liquor.com/wp-content/uploads/2018/05/02135451/maitai-feature.jpg","A classic cocktail made with one of the world’s classic rums, this Mai Tai mixes up tropical flavors like almond and spice to become your next Tiki go-to.","Orgeat","15 ml",""
"Bacardí Superior Mai Tai","https://cdn.liquor.com/wp-content/uploads/2018/05/02135451/maitai-feature.jpg","A classic cocktail made with one of the world’s classic rums, this Mai Tai mixes up tropical flavors like almond and spice to become your next Tiki go-to.","Dark rum","15 ml",""
"","","","","","Add the White rum, curaçao, juice and orgeat into a shaker with crushed ice and shake lightly (about 3 seconds)."
"","","","","","Pour into a double Old Fashioned glass, then float the Dark rum."
"","","","","","Garnish with a lime wheel and mint sprig."
"Irish Coffee","https://cdn.liquor.com/wp-content/uploads/2017/02/22140200/irish-coffee-720x720-recipe1.jpg","Irish Coffee may not be the first coffee drink with alcohol, but it has become one of the most famous. Combining coffee with Irish whiskey, brown sugar and lightly whipped cream, Irish Coffee is a hot, creamy classic.","Irish whiskey
Try it with Jameson","45 ml",""
"Irish Coffee","https://cdn.liquor.com/wp-content/uploads/2017/02/22140200/irish-coffee-720x720-recipe1.jpg","Irish Coffee may not be the first coffee drink with alcohol, but it has become one of the most famous. Combining coffee with Irish whiskey, brown sugar and lightly whipped cream, Irish Coffee is a hot, creamy classic.","Brown sugar","2 tsp",""
"Irish Coffee","https://cdn.liquor.com/wp-content/uploads/2017/02/22140200/irish-coffee-720x720-recipe1.jpg","Irish Coffee may not be the first coffee drink with alcohol, but it has become one of the most famous. Combining coffee with Irish whiskey, brown sugar and lightly whipped cream, Irish Coffee is a hot, creamy classic.","Hot brewed coffee","",""
"","","","","","Filling an Irish Coffee mug with hot water, let sit for 2 minutes, then discard the water."
"","","","","","Add the whiskey and sugar to the glass, fill with the coffee, and stir."
"","","","","","Top with an inch of unsweetened lightly whipped cream."
"Blood & Sand","https://cdn.liquor.com/wp-content/uploads/2016/09/27104034/11-Scotch-Cocktails-to-Make-Right-Now-blood-and-sand-720x720-recipe.jpg","The Blood & Sand is a classic scotch-based cocktail that has withstood the test of time. The recipe first appeared in 1930 in The Savoy Cocktail Book by Harry Craddock and has become a mainstay on bar menus ever since.","Scotch whisky
Try it with Chivas Regal","22 ml",""
"Blood & Sand","https://cdn.liquor.com/wp-content/uploads/2016/09/27104034/11-Scotch-Cocktails-to-Make-Right-Now-blood-and-sand-720x720-recipe.jpg","The Blood & Sand is a classic scotch-based cocktail that has withstood the test of time. The recipe first appeared in 1930 in The Savoy Cocktail Book by Harry Craddock and has become a mainstay on bar menus ever since.","Sweet vermouth","22 ml",""
"Blood & Sand","https://cdn.liquor.com/wp-content/uploads/2016/09/27104034/11-Scotch-Cocktails-to-Make-Right-Now-blood-and-sand-720x720-recipe.jpg","The Blood & Sand is a classic scotch-based cocktail that has withstood the test of time. The recipe first appeared in 1930 in The Savoy Cocktail Book by Harry Craddock and has become a mainstay on bar menus ever since.","Heering cherry liqueur","22 ml",""
"Blood & Sand","https://cdn.liquor.com/wp-content/uploads/2016/09/27104034/11-Scotch-Cocktails-to-Make-Right-Now-blood-and-sand-720x720-recipe.jpg","The Blood & Sand is a classic scotch-based cocktail that has withstood the test of time. The recipe first appeared in 1930 in The Savoy Cocktail Book by Harry Craddock and has become a mainstay on bar menus ever since.","Orange juice, freshly squeezed","22 ml",""
"","","","","","Add all the ingredients into a shaker with ice and shake."
"","","","","","Strain into a chilled coupe or cocktail glass."
"","","","","","Garnish with an orange peel."
"Dark ’n Stormy","https://cdn.liquor.com/wp-content/uploads/2016/10/04133803/dark-n-stormy-720sq.jpg","The Dark ’n Stormy is a simple but delicious two-ingredient cocktail of dark rum (the “dark”) and ginger beer (the “stormy”).","Gosling's Black Seal rum","45 ml",""
"Dark ’n Stormy","https://cdn.liquor.com/wp-content/uploads/2016/10/04133803/dark-n-stormy-720sq.jpg","The Dark ’n Stormy is a simple but delicious two-ingredient cocktail of dark rum (the “dark”) and ginger beer (the “stormy”).","Stormy ginger beer, to top","",""
"","","","","","Fill a tall glass with ice, and add the rum."
"","","","","","Top with the ginger beer."
"","","","","","Garnish with a lime wedge."
"Happy Pill","https://cdn.liquor.com/wp-content/uploads/2018/01/31120524/Happy-Pill-720x720-recipe.jpg","This cocktail at Chica in Las Vegas’ Venetian is a balanced version of a Tiki classic, the Painkiller.","Don Q Cristal rum","30 ml",""
