drinkName_name,drinkName_drinkImage,drinkName_about,drinkName_ingredients_ingredient,drinkName_ingredients_amount,drinkName_mix_how
TobyCecchiniâ€™sGenerousCosmopolitan,https://cdn.liquor.com/wp-content/uploads/2018/06/18131932/Toby-Cecchinis-Generous-Cosmopolitan-720x720-recipe.jpg,"TobyCecchiniistheunequivocalinventoroftheCosmopolitanasweknowittoday.Itâ€™sacocktailhecreatedintheautumnof1988whenworkingbehindthebaratKeithMcNallyâ€™sfamedOdeon,thebustling,neon-litTribecahangoutwhereartycelebswereasregularasightasplatesfullofsteakfrites.",AbsolutCitronvodka,60ml,
TobyCecchiniâ€™sGenerousCosmopolitan,https://cdn.liquor.com/wp-content/uploads/2018/06/18131932/Toby-Cecchinis-Generous-Cosmopolitan-720x720-recipe.jpg,"TobyCecchiniistheunequivocalinventoroftheCosmopolitanasweknowittoday.Itâ€™sacocktailhecreatedintheautumnof1988whenworkingbehindthebaratKeithMcNallyâ€™sfamedOdeon,thebustling,neon-litTribecahangoutwhereartycelebswereasregularasightasplatesfullofsteakfrites.",Cointreau,30ml,
TobyCecchiniâ€™sGenerousCosmopolitan,https://cdn.liquor.com/wp-content/uploads/2018/06/18131932/Toby-Cecchinis-Generous-Cosmopolitan-720x720-recipe.jpg,"TobyCecchiniistheunequivocalinventoroftheCosmopolitanasweknowittoday.Itâ€™sacocktailhecreatedintheautumnof1988whenworkingbehindthebaratKeithMcNallyâ€™sfamedOdeon,thebustling,neon-litTribecahangoutwhereartycelebswereasregularasightasplatesfullofsteakfrites.",OceanSpraycranberryjuicecocktail,30ml,
TobyCecchiniâ€™sGenerousCosmopolitan,https://cdn.liquor.com/wp-content/uploads/2018/06/18131932/Toby-Cecchinis-Generous-Cosmopolitan-720x720-recipe.jpg,"TobyCecchiniistheunequivocalinventoroftheCosmopolitanasweknowittoday.Itâ€™sacocktailhecreatedintheautumnof1988whenworkingbehindthebaratKeithMcNallyâ€™sfamedOdeon,thebustling,neon-litTribecahangoutwhereartycelebswereasregularasightasplatesfullofsteakfrites.",Freshlimejuice,30ml,
,,,,,"Addalltheingredientsintoashakerwithice,andshakeuntilcoldandfrothy."
,,,,,Strainintoacoupeglass.
,,,,,Garnishwithalemontwist.
BlackRiverSwizzle,https://cdn.liquor.com/wp-content/uploads/2018/07/17170116/Black-River-Swizzle-720x720-recipe-no-filter.jpg,AnyonewhoenjoyshogorumisgoingtolovePaulMcGeeâ€™sinspiredtakeontheRumSwizzle.JustmakesureyouaddtherightJamaicanrum.,AppletonEstateSignatureBlendrum,30ml,
BlackRiverSwizzle,https://cdn.liquor.com/wp-content/uploads/2018/07/17170116/Black-River-Swizzle-720x720-recipe-no-filter.jpg,AnyonewhoenjoyshogorumisgoingtolovePaulMcGeeâ€™sinspiredtakeontheRumSwizzle.JustmakesureyouaddtherightJamaicanrum.,AppletonEstateReserveBlendrum,30ml,
BlackRiverSwizzle,https://cdn.liquor.com/wp-content/uploads/2018/07/17170116/Black-River-Swizzle-720x720-recipe-no-filter.jpg,AnyonewhoenjoyshogorumisgoingtolovePaulMcGeeâ€™sinspiredtakeontheRumSwizzle.JustmakesureyouaddtherightJamaicanrum.,Sorrelsyrup*,22ml,
BlackRiverSwizzle,https://cdn.liquor.com/wp-content/uploads/2018/07/17170116/Black-River-Swizzle-720x720-recipe-no-filter.jpg,AnyonewhoenjoyshogorumisgoingtolovePaulMcGeeâ€™sinspiredtakeontheRumSwizzle.JustmakesureyouaddtherightJamaicanrum.,Freshlimejuice,22ml,
BlackRiverSwizzle,https://cdn.liquor.com/wp-content/uploads/2018/07/17170116/Black-River-Swizzle-720x720-recipe-no-filter.jpg,AnyonewhoenjoyshogorumisgoingtolovePaulMcGeeâ€™sinspiredtakeontheRumSwizzle.JustmakesureyouaddtherightJamaicanrum.,Angosturabitters,1dash,
,,,,,AddalltheingredientsintoaCollinsglassovercrushedice.
,,,,,"Withaswizzlestick,churnvigorouslyandaddmorecrushedice."
,,,,,Garnishwithamintsprigandgratednutmeg.
,,,,,"*Sorrelsyrup:Inalargestockpan,add1tspallspiceberries,1tspclovesand2largecinnamonsticksandcrackwithamuddler.Overmediumheat,toastfor3minutes,thenadd3cupswaterandletboil.Stirin1ozginger,3/4ozcuthibiscusand3cupssugaruntilsugardissolves(about5minutes).Placeincontainerandrefrigerateovernight.Stirandstrainbeforeusing."
,,,,,"**Scotchbonnettincture:Inablender,add2scotchbonnetpeppersand10ozWray&Nephewoverproofrumandblendfor30seconds.Letsitovernightandstrainthroughcheesecloth."
Lizzyâ€™sFizzy,https://cdn.liquor.com/wp-content/uploads/2018/07/17134315/Lizzys-Fizzy-720x720-recipe-no-filter.jpg,ThisrecipefromMartinCateistheperfectthingtomakeduringsummerâ€”oranytimeyouwantittofeellikesummer.ThesweetandbubblyflavorisanchoredbythesingulartasteofJamaicanrum.,AppletonEstateReserveBlendrum,45ml,
Lizzyâ€™sFizzy,https://cdn.liquor.com/wp-content/uploads/2018/07/17134315/Lizzys-Fizzy-720x720-recipe-no-filter.jpg,ThisrecipefromMartinCateistheperfectthingtomakeduringsummerâ€”oranytimeyouwantittofeellikesummer.ThesweetandbubblyflavorisanchoredbythesingulartasteofJamaicanrum.,Wray&Nephewoverproofrum,15ml,
Lizzyâ€™sFizzy,https://cdn.liquor.com/wp-content/uploads/2018/07/17134315/Lizzys-Fizzy-720x720-recipe-no-filter.jpg,ThisrecipefromMartinCateistheperfectthingtomakeduringsummerâ€”oranytimeyouwantittofeellikesummer.ThesweetandbubblyflavorisanchoredbythesingulartasteofJamaicanrum.,Honeysyrup,15ml,
Lizzyâ€™sFizzy,https://cdn.liquor.com/wp-content/uploads/2018/07/17134315/Lizzys-Fizzy-720x720-recipe-no-filter.jpg,ThisrecipefromMartinCateistheperfectthingtomakeduringsummerâ€”oranytimeyouwantittofeellikesummer.ThesweetandbubblyflavorisanchoredbythesingulartasteofJamaicanrum.,Freshlemonjuice,15ml,
Lizzyâ€™sFizzy,https://cdn.liquor.com/wp-content/uploads/2018/07/17134315/Lizzys-Fizzy-720x720-recipe-no-filter.jpg,ThisrecipefromMartinCateistheperfectthingtomakeduringsummerâ€”oranytimeyouwantittofeellikesummer.ThesweetandbubblyflavorisanchoredbythesingulartasteofJamaicanrum.,Coconutcream,15ml,
,,,,,AddalltheingredientsexcepttheChampagneintoashakerwithiceandshake.
,,,,,Double-strainintoachilledcoupeglass.
,,,,,TopwiththeChampagne.
,,,,,Garnishwithamintleaf.
NassauValley,https://cdn.liquor.com/wp-content/uploads/2018/07/17132536/Nassau-Valley-720x720-recipe-no-filter.jpg,"PaulMcGeeâ€™sstrongcocktailisamouthwateringsynthesisofexcellentspirits,witheachoneplayingofftheothersbeautifully.Donâ€™tworryâ€”theJamaicanrumâ€™shogoflavorisnâ€™tmutedbythesherryorCynar.",AppletonEstateSignatureBlendrum,30ml,
NassauValley,https://cdn.liquor.com/wp-content/uploads/2018/07/17132536/Nassau-Valley-720x720-recipe-no-filter.jpg,"PaulMcGeeâ€™sstrongcocktailisamouthwateringsynthesisofexcellentspirits,witheachoneplayingofftheothersbeautifully.Donâ€™tworryâ€”theJamaicanrumâ€™shogoflavorisnâ€™tmutedbythesherryorCynar.",AppletonEstateReserveBlendrum,30ml,
NassauValley,https://cdn.liquor.com/wp-content/uploads/2018/07/17132536/Nassau-Valley-720x720-recipe-no-filter.jpg,"PaulMcGeeâ€™sstrongcocktailisamouthwateringsynthesisofexcellentspirits,witheachoneplayingofftheothersbeautifully.Donâ€™tworryâ€”theJamaicanrumâ€™shogoflavorisnâ€™tmutedbythesherryorCynar.",Finosherry,15ml,
NassauValley,https://cdn.liquor.com/wp-content/uploads/2018/07/17132536/Nassau-Valley-720x720-recipe-no-filter.jpg,"PaulMcGeeâ€™sstrongcocktailisamouthwateringsynthesisofexcellentspirits,witheachoneplayingofftheothersbeautifully.Donâ€™tworryâ€”theJamaicanrumâ€™shogoflavorisnâ€™tmutedbythesherryorCynar.",Amontilladosherry,15ml,
NassauValley,https://cdn.liquor.com/wp-content/uploads/2018/07/17132536/Nassau-Valley-720x720-recipe-no-filter.jpg,"PaulMcGeeâ€™sstrongcocktailisamouthwateringsynthesisofexcellentspirits,witheachoneplayingofftheothersbeautifully.Donâ€™tworryâ€”theJamaicanrumâ€™shogoflavorisnâ€™tmutedbythesherryorCynar.",Cynar,15ml,
,,,,,"Addtheingredientsintoamixingglasswithice,andstirfor5seconds."
,,,,,Strainintoachilledrocksglassover1largeicecube.
,,,,,Expresstheoilofalemonpeelovertopanddiscard.
RumDiary,https://cdn.liquor.com/wp-content/uploads/2018/07/17131236/Rum-Diary-720x720-recipe-no-filter.jpg,Youâ€™regoingtoneedsomefreshpineappleandqualityrumtobringtheRumDiarytolife.Shakeitalltogetherforacomplexandrefreshingrumcocktail.,3Muddledpineapplechunks,3,
