"drinkName_name","drinkName_drinkImage","drinkName_about","drinkName_ingredients_ingredient","drinkName_ingredients_amount","drinkName_mix_how"
"Beton","https://cdn.liquor.com/wp-content/uploads/2018/10/03075628/benton-720x720-recipe.jpg","Filip Stránský of the AnonymouS concept bars in Prague has a traditional specialty. “We drink Becherovka in a traditional drink called the Beton, which was first published in 1967,” he says. “It’s a twist on a Gin & Tonic.”","Becherovka liqueur","60 ml",""
"Beton","https://cdn.liquor.com/wp-content/uploads/2018/10/03075628/benton-720x720-recipe.jpg","Filip Stránský of the AnonymouS concept bars in Prague has a traditional specialty. “We drink Becherovka in a traditional drink called the Beton, which was first published in 1967,” he says. “It’s a twist on a Gin & Tonic.”","Tonic water","120 ml",""
"","","","","","Add the ingredients into a highball glass over ice."
"","","","","","Garnish with a lemon wedge."
"Always Sunny","https://cdn.liquor.com/wp-content/uploads/2018/09/28153451/11-Hottest-Cocktails-to-Drink-in-bars-Now-October-2018-always-sunny-720x720-slideshow.jpg","Davy Butterworth, the beverage director at Decca in Louisville, Ky., oversees a team of bartenders, like former bartender Aida Ramirez, who crafted this summery, low-proof cocktail. Its base of ginger liqueur is accented by pisco, lemon and turmeric simple syrup. The drink is vibrantly orange and given a crisp finish from a splash of prosecco.","The King’s ginger liqueur","45 ml",""
"Always Sunny","https://cdn.liquor.com/wp-content/uploads/2018/09/28153451/11-Hottest-Cocktails-to-Drink-in-bars-Now-October-2018-always-sunny-720x720-slideshow.jpg","Davy Butterworth, the beverage director at Decca in Louisville, Ky., oversees a team of bartenders, like former bartender Aida Ramirez, who crafted this summery, low-proof cocktail. Its base of ginger liqueur is accented by pisco, lemon and turmeric simple syrup. The drink is vibrantly orange and given a crisp finish from a splash of prosecco.","BarSol Puro Quebranta pisco","15 ml",""
"Always Sunny","https://cdn.liquor.com/wp-content/uploads/2018/09/28153451/11-Hottest-Cocktails-to-Drink-in-bars-Now-October-2018-always-sunny-720x720-slideshow.jpg","Davy Butterworth, the beverage director at Decca in Louisville, Ky., oversees a team of bartenders, like former bartender Aida Ramirez, who crafted this summery, low-proof cocktail. Its base of ginger liqueur is accented by pisco, lemon and turmeric simple syrup. The drink is vibrantly orange and given a crisp finish from a splash of prosecco.","Fresh lemon juice","22 ml",""
"Always Sunny","https://cdn.liquor.com/wp-content/uploads/2018/09/28153451/11-Hottest-Cocktails-to-Drink-in-bars-Now-October-2018-always-sunny-720x720-slideshow.jpg","Davy Butterworth, the beverage director at Decca in Louisville, Ky., oversees a team of bartenders, like former bartender Aida Ramirez, who crafted this summery, low-proof cocktail. Its base of ginger liqueur is accented by pisco, lemon and turmeric simple syrup. The drink is vibrantly orange and given a crisp finish from a splash of prosecco.","Turmeric simple syrup*","15 ml",""
"Always Sunny","https://cdn.liquor.com/wp-content/uploads/2018/09/28153451/11-Hottest-Cocktails-to-Drink-in-bars-Now-October-2018-always-sunny-720x720-slideshow.jpg","Davy Butterworth, the beverage director at Decca in Louisville, Ky., oversees a team of bartenders, like former bartender Aida Ramirez, who crafted this summery, low-proof cocktail. Its base of ginger liqueur is accented by pisco, lemon and turmeric simple syrup. The drink is vibrantly orange and given a crisp finish from a splash of prosecco.","Mionetto prosecco","1 splash",""
"","","","","","Add the first four ingredients into a shaker with ice and shake."
"","","","","","Strain into a chilled coupe."
"","","","","","Top with a splash of the prosecco."
"","","","","","*Turmeric simple syrup: Bring 1 tbsp ground turmeric, 1/3 cup freshly peeled and chopped turmeric, 1 cup sugar and 1 cup water to a boil. Let simmer for 15 minutes. Use a cheesecloth, strain the grounds out of the syrup. Store in fridge for up to 1 month."
"Huli Pau!","https://cdn.liquor.com/wp-content/uploads/2018/09/28152458/11-Hottest-Cocktails-to-Drink-in-bars-Now-October-2018-huli-pau-720x720-slideshow.jpg","This cocktail created by Dennis Gobis, the co-owner and head of operations at The Roosevelt Room in Austin, goes lush with a base of five-year-old rum, blended and frozen with fresh tarragon, mint, aloe juice, coconut cream and pineapple chunks.","El Dorado five-year-old rum","45 ml",""
"Huli Pau!","https://cdn.liquor.com/wp-content/uploads/2018/09/28152458/11-Hottest-Cocktails-to-Drink-in-bars-Now-October-2018-huli-pau-720x720-slideshow.jpg","This cocktail created by Dennis Gobis, the co-owner and head of operations at The Roosevelt Room in Austin, goes lush with a base of five-year-old rum, blended and frozen with fresh tarragon, mint, aloe juice, coconut cream and pineapple chunks.","Coco Lopez cream of coconut","30 ml",""
"Huli Pau!","https://cdn.liquor.com/wp-content/uploads/2018/09/28152458/11-Hottest-Cocktails-to-Drink-in-bars-Now-October-2018-huli-pau-720x720-slideshow.jpg","This cocktail created by Dennis Gobis, the co-owner and head of operations at The Roosevelt Room in Austin, goes lush with a base of five-year-old rum, blended and frozen with fresh tarragon, mint, aloe juice, coconut cream and pineapple chunks.","Aloe juice","30 ml",""
"Huli Pau!","https://cdn.liquor.com/wp-content/uploads/2018/09/28152458/11-Hottest-Cocktails-to-Drink-in-bars-Now-October-2018-huli-pau-720x720-slideshow.jpg","This cocktail created by Dennis Gobis, the co-owner and head of operations at The Roosevelt Room in Austin, goes lush with a base of five-year-old rum, blended and frozen with fresh tarragon, mint, aloe juice, coconut cream and pineapple chunks.","Pineapple wedges","120 ml",""
"Huli Pau!","https://cdn.liquor.com/wp-content/uploads/2018/09/28152458/11-Hottest-Cocktails-to-Drink-in-bars-Now-October-2018-huli-pau-720x720-slideshow.jpg","This cocktail created by Dennis Gobis, the co-owner and head of operations at The Roosevelt Room in Austin, goes lush with a base of five-year-old rum, blended and frozen with fresh tarragon, mint, aloe juice, coconut cream and pineapple chunks.","Mint leaves","10",""
"Huli Pau!","https://cdn.liquor.com/wp-content/uploads/2018/09/28152458/11-Hottest-Cocktails-to-Drink-in-bars-Now-October-2018-huli-pau-720x720-slideshow.jpg","This cocktail created by Dennis Gobis, the co-owner and head of operations at The Roosevelt Room in Austin, goes lush with a base of five-year-old rum, blended and frozen with fresh tarragon, mint, aloe juice, coconut cream and pineapple chunks.","Tarragon leaves","10",""
"Huli Pau!","https://cdn.liquor.com/wp-content/uploads/2018/09/28152458/11-Hottest-Cocktails-to-Drink-in-bars-Now-October-2018-huli-pau-720x720-slideshow.jpg","This cocktail created by Dennis Gobis, the co-owner and head of operations at The Roosevelt Room in Austin, goes lush with a base of five-year-old rum, blended and frozen with fresh tarragon, mint, aloe juice, coconut cream and pineapple chunks.","Peanut oil","1⁄2 tsp",""
"","","","","","Add all the ingredients into a small Nutribullet or other blender with 10 oz crushed ice and blend for 10 seconds."
"","","","","","Pour into a Hurricane glass (with an optional mini lei tied around its body)."
"","","","","","Garnish with a mint sprig and a few shakes of butterfly pea powder."
"","","","","","Serve with a straw."
