"drinkName_name","drinkName_drinkImage","drinkName_about","drinkName_ingredients_ingredient","drinkName_ingredients_amount","drinkName_mix_how"
"Toby Cecchini’s Generous Cosmopolitan","https://cdn.liquor.com/wp-content/uploads/2018/06/18131932/Toby-Cecchinis-Generous-Cosmopolitan-720x720-recipe.jpg","Toby Cecchini is the unequivocal inventor of the Cosmopolitan as we know it today. It’s a cocktail he created in the autumn of 1988 when working behind the bar at Keith McNally’s famed Odeon, the bustling, neon-lit Tribeca hangout where arty celebs were as regular a sight as plates full of steak frites.","Absolut Citron vodka","60 ml",""
"Toby Cecchini’s Generous Cosmopolitan","https://cdn.liquor.com/wp-content/uploads/2018/06/18131932/Toby-Cecchinis-Generous-Cosmopolitan-720x720-recipe.jpg","Toby Cecchini is the unequivocal inventor of the Cosmopolitan as we know it today. It’s a cocktail he created in the autumn of 1988 when working behind the bar at Keith McNally’s famed Odeon, the bustling, neon-lit Tribeca hangout where arty celebs were as regular a sight as plates full of steak frites.","Cointreau","30 ml",""
"Toby Cecchini’s Generous Cosmopolitan","https://cdn.liquor.com/wp-content/uploads/2018/06/18131932/Toby-Cecchinis-Generous-Cosmopolitan-720x720-recipe.jpg","Toby Cecchini is the unequivocal inventor of the Cosmopolitan as we know it today. It’s a cocktail he created in the autumn of 1988 when working behind the bar at Keith McNally’s famed Odeon, the bustling, neon-lit Tribeca hangout where arty celebs were as regular a sight as plates full of steak frites.","Ocean Spray cranberry juice cocktail","30 ml",""
"Toby Cecchini’s Generous Cosmopolitan","https://cdn.liquor.com/wp-content/uploads/2018/06/18131932/Toby-Cecchinis-Generous-Cosmopolitan-720x720-recipe.jpg","Toby Cecchini is the unequivocal inventor of the Cosmopolitan as we know it today. It’s a cocktail he created in the autumn of 1988 when working behind the bar at Keith McNally’s famed Odeon, the bustling, neon-lit Tribeca hangout where arty celebs were as regular a sight as plates full of steak frites.","Fresh lime juice","30 ml",""
"","","","","","Add all the ingredients into a shaker with ice, and shake until cold and frothy."
"","","","","","Strain into a coupe glass."
"","","","","","Garnish with a lemon twist."
"Black River Swizzle","https://cdn.liquor.com/wp-content/uploads/2018/07/17170116/Black-River-Swizzle-720x720-recipe-no-filter.jpg","Anyone who enjoys hogo rum is going to love Paul McGee’s inspired take on the Rum Swizzle. Just make sure you add the right Jamaican rum.","Appleton Estate Signature Blend rum","30 ml",""
"Black River Swizzle","https://cdn.liquor.com/wp-content/uploads/2018/07/17170116/Black-River-Swizzle-720x720-recipe-no-filter.jpg","Anyone who enjoys hogo rum is going to love Paul McGee’s inspired take on the Rum Swizzle. Just make sure you add the right Jamaican rum.","Appleton Estate Reserve Blend rum","30 ml",""
"Black River Swizzle","https://cdn.liquor.com/wp-content/uploads/2018/07/17170116/Black-River-Swizzle-720x720-recipe-no-filter.jpg","Anyone who enjoys hogo rum is going to love Paul McGee’s inspired take on the Rum Swizzle. Just make sure you add the right Jamaican rum.","Sorrel syrup*","22 ml",""
